Week,Year,Age,Sex,Deaths
0,2017,Total,Total,469
1,2017,Total,Total,3568
2,2017,Total,Total,3637
3,2017,Total,Total,3487
4,2017,Total,Total,3626
5,2017,Total,Total,3574
6,2017,Total,Total,3446
7,2017,Total,Total,3417
8,2017,Total,Total,3328
9,2017,Total,Total,3152
10,2017,Total,Total,3054
11,2017,Total,Total,2843
12,2017,Total,Total,2778
13,2017,Total,Total,2850
14,2017,Total,Total,2764
15,2017,Total,Total,2810
16,2017,Total,Total,2713
17,2017,Total,Total,2778
18,2017,Total,Total,2769
19,2017,Total,Total,2802
20,2017,Total,Total,2801
21,2017,Total,Total,2772
22,2017,Total,Total,2701
23,2017,Total,Total,2624
24,2017,Total,Total,2643
25,2017,Total,Total,2627
26,2017,Total,Total,2691
27,2017,Total,Total,2697
28,2017,Total,Total,2520
29,2017,Total,Total,2674
30,2017,Total,Total,2571
31,2017,Total,Total,2510
32,2017,Total,Total,2657
33,2017,Total,Total,2540
34,2017,Total,Total,2545
35,2017,Total,Total,2576
36,2017,Total,Total,2570
37,2017,Total,Total,2707
38,2017,Total,Total,2715
39,2017,Total,Total,2669
40,2017,Total,Total,2641
41,2017,Total,Total,2763
42,2017,Total,Total,2706
43,2017,Total,Total,2676
44,2017,Total,Total,2726
45,2017,Total,Total,2797
46,2017,Total,Total,2916
47,2017,Total,Total,2917
48,2017,Total,Total,2886
49,2017,Total,Total,3027
50,2017,Total,Total,3218
51,2017,Total,Total,3079
52,2017,Total,Total,3187
0,2018,Total,Total,3343
1,2018,Total,Total,3359
2,2018,Total,Total,3364
3,2018,Total,Total,3322
4,2018,Total,Total,3403
5,2018,Total,Total,3513
6,2018,Total,Total,3660
7,2018,Total,Total,3691
8,2018,Total,Total,3937
9,2018,Total,Total,4092
10,2018,Total,Total,3733
11,2018,Total,Total,3430
12,2018,Total,Total,3225
13,2018,Total,Total,3040
14,2018,Total,Total,2860
15,2018,Total,Total,2760
16,2018,Total,Total,2663
17,2018,Total,Total,2645
18,2018,Total,Total,2641
19,2018,Total,Total,2606
20,2018,Total,Total,2674
21,2018,Total,Total,2776
22,2018,Total,Total,2679
23,2018,Total,Total,2557
24,2018,Total,Total,2601
25,2018,Total,Total,2619
26,2018,Total,Total,2726
27,2018,Total,Total,2671
28,2018,Total,Total,2704
29,2018,Total,Total,2767
30,2018,Total,Total,2760
31,2018,Total,Total,2745
32,2018,Total,Total,2605
33,2018,Total,Total,2612
34,2018,Total,Total,2527
35,2018,Total,Total,2613
36,2018,Total,Total,2539
37,2018,Total,Total,2706
38,2018,Total,Total,2696
39,2018,Total,Total,2806
40,2018,Total,Total,2760
41,2018,Total,Total,2739
42,2018,Total,Total,2671
43,2018,Total,Total,2815
44,2018,Total,Total,2798
45,2018,Total,Total,2761
46,2018,Total,Total,2859
47,2018,Total,Total,2907
48,2018,Total,Total,2968
49,2018,Total,Total,3017
50,2018,Total,Total,3041
51,2018,Total,Total,2901
52,2018,Total,Total,456
0,2019,Total,Total,2606
1,2019,Total,Total,3262
2,2019,Total,Total,3150
3,2019,Total,Total,3178
4,2019,Total,Total,3143
5,2019,Total,Total,3185
6,2019,Total,Total,3252
7,2019,Total,Total,3222
8,2019,Total,Total,3066
9,2019,Total,Total,3171
10,2019,Total,Total,3227
11,2019,Total,Total,3042
12,2019,Total,Total,3013
13,2019,Total,Total,2900
14,2019,Total,Total,2900
15,2019,Total,Total,3040
16,2019,Total,Total,2957
17,2019,Total,Total,2806
18,2019,Total,Total,2771
19,2019,Total,Total,2821
20,2019,Total,Total,2873
21,2019,Total,Total,2732
22,2019,Total,Total,2736
23,2019,Total,Total,2650
24,2019,Total,Total,2694
25,2019,Total,Total,2835
26,2019,Total,Total,2725
27,2019,Total,Total,2760
