Week,Year,Age,Sex,Condition,Region,Deaths
0,2020,Total,Total,Total,Total,12254
1,2020,Total,Total,Total,Total,14058
2,2020,Total,Total,Total,Total,12990
3,2020,Total,Total,Total,Total,11856
4,2020,Total,Total,Total,Total,11612
5,2020,Total,Total,Total,Total,10986
6,2020,Total,Total,Total,Total,10944
7,2020,Total,Total,Total,Total,10841
8,2020,Total,Total,Total,Total,10816
9,2020,Total,Total,Total,Total,10895
10,2020,Total,Total,Total,Total,11019
11,2020,Total,Total,Total,Total,10645
12,2020,Total,Total,Total,Total,11141
13,2020,Total,Total,Total,Total,16387
14,2020,Total,Total,Total,Total,18516
0,2020,Total,Total,Respiratory,Total,2141
1,2020,Total,Total,Respiratory,Total,2477
2,2020,Total,Total,Respiratory,Total,2188
3,2020,Total,Total,Respiratory,Total,1893
4,2020,Total,Total,Respiratory,Total,1746
5,2020,Total,Total,Respiratory,Total,1572
6,2020,Total,Total,Respiratory,Total,1602
7,2020,Total,Total,Respiratory,Total,1619
8,2020,Total,Total,Respiratory,Total,1546
9,2020,Total,Total,Respiratory,Total,1584
10,2020,Total,Total,Respiratory,Total,1502
11,2020,Total,Total,Respiratory,Total,1510
12,2020,Total,Total,Respiratory,Total,1516
13,2020,Total,Total,Respiratory,Total,1965
14,2020,Total,Total,Respiratory,Total,1810
0,2020,01-14,Female,Total,Total,8
0,2020,01-14,Male,Total,Total,8
0,2020,01-14,Total,Total,Total,16
0,2020,15-44,Female,Total,Total,74
0,2020,15-44,Male,Total,Total,115
0,2020,15-44,Total,Total,Total,189
0,2020,45-64,Female,Total,Total,536
0,2020,45-64,Male,Total,Total,665
0,2020,45-64,Total,Total,Total,1201
0,2020,65-74,Female,Total,Total,748
0,2020,65-74,Male,Total,Total,1112
0,2020,65-74,Total,Total,Total,1860
0,2020,75-84,Female,Total,Total,1705
0,2020,75-84,Male,Total,Total,1879
0,2020,75-84,Total,Total,Total,3584
0,2020,85+,Female,Total,Total,3275
0,2020,85+,Male,Total,Total,2080
0,2020,85+,Total,Total,Total,5355
0,2020,Under 1 year,Female,Total,Total,18
0,2020,Under 1 year,Male,Total,Total,30
0,2020,Under 1 year,Total,Total,Total,48
1,2020,01-14,Female,Total,Total,11
1,2020,01-14,Male,Total,Total,15
1,2020,01-14,Total,Total,Total,26
1,2020,15-44,Female,Total,Total,99
1,2020,15-44,Male,Total,Total,176
1,2020,15-44,Total,Total,Total,275
1,2020,45-64,Female,Total,Total,616
1,2020,45-64,Male,Total,Total,884
1,2020,45-64,Total,Total,Total,1500
1,2020,65-74,Female,Total,Total,928
1,2020,65-74,Male,Total,Total,1270
1,2020,65-74,Total,Total,Total,2198
1,2020,75-84,Female,Total,Total,1918
1,2020,75-84,Male,Total,Total,2096
1,2020,75-84,Total,Total,Total,4014
1,2020,85+,Female,Total,Total,3636
1,2020,85+,Male,Total,Total,2358
1,2020,85+,Total,Total,Total,5994
1,2020,Under 1 year,Female,Total,Total,21
1,2020,Under 1 year,Male,Total,Total,29
1,2020,Under 1 year,Total,Total,Total,50
2,2020,01-14,Female,Total,Total,5
2,2020,01-14,Male,Total,Total,11
2,2020,01-14,Total,Total,Total,16
2,2020,15-44,Female,Total,Total,107
2,2020,15-44,Male,Total,Total,207
2,2020,15-44,Total,Total,Total,314
2,2020,45-64,Female,Total,Total,579
2,2020,45-64,Male,Total,Total,939
2,2020,45-64,Total,Total,Total,1518
2,2020,65-74,Female,Total,Total,852
2,2020,65-74,Male,Total,Total,1161
2,2020,65-74,Total,Total,Total,2013
2,2020,75-84,Female,Total,Total,1749
2,2020,75-84,Male,Total,Total,1966
2,2020,75-84,Total,Total,Total,3715
2,2020,85+,Female,Total,Total,3237
2,2020,85+,Male,Total,Total,2108
2,2020,85+,Total,Total,Total,5345
2,2020,Under 1 year,Female,Total,Total,31
2,2020,Under 1 year,Male,Total,Total,38
2,2020,Under 1 year,Total,Total,Total,69
3,2020,01-14,Female,Total,Total,7
3,2020,01-14,Male,Total,Total,14
3,2020,01-14,Total,Total,Total,21
3,2020,15-44,Female,Total,Total,100
3,2020,15-44,Male,Total,Total,214
3,2020,15-44,Total,Total,Total,314
3,2020,45-64,Female,Total,Total,536
3,2020,45-64,Male,Total,Total,820
3,2020,45-64,Total,Total,Total,1356
3,2020,65-74,Female,Total,Total,813
3,2020,65-74,Male,Total,Total,1145
3,2020,65-74,Total,Total,Total,1958
3,2020,75-84,Female,Total,Total,1567
3,2020,75-84,Male,Total,Total,1770
3,2020,75-84,Total,Total,Total,3337
3,2020,85+,Female,Total,Total,2890
3,2020,85+,Male,Total,Total,1924
3,2020,85+,Total,Total,Total,4814
3,2020,Under 1 year,Female,Total,Total,25
3,2020,Under 1 year,Male,Total,Total,28
3,2020,Under 1 year,Total,Total,Total,53
4,2020,01-14,Female,Total,Total,4
4,2020,01-14,Male,Total,Total,11
4,2020,01-14,Total,Total,Total,15
4,2020,15-44,Female,Total,Total,113
4,2020,15-44,Male,Total,Total,195
4,2020,15-44,Total,Total,Total,308
4,2020,45-64,Female,Total,Total,490
4,2020,45-64,Male,Total,Total,858
4,2020,45-64,Total,Total,Total,1348
4,2020,65-74,Female,Total,Total,808
4,2020,65-74,Male,Total,Total,1120
4,2020,65-74,Total,Total,Total,1928
4,2020,75-84,Female,Total,Total,1510
4,2020,75-84,Male,Total,Total,1746
4,2020,75-84,Total,Total,Total,3256
4,2020,85+,Female,Total,Total,2865
4,2020,85+,Male,Total,Total,1842
4,2020,85+,Total,Total,Total,4707
4,2020,Under 1 year,Female,Total,Total,28
4,2020,Under 1 year,Male,Total,Total,22
4,2020,Under 1 year,Total,Total,Total,50
5,2020,01-14,Female,Total,Total,5
5,2020,01-14,Male,Total,Total,11
5,2020,01-14,Total,Total,Total,16
5,2020,15-44,Female,Total,Total,97
5,2020,15-44,Male,Total,Total,174
5,2020,15-44,Total,Total,Total,271
5,2020,45-64,Female,Total,Total,545
5,2020,45-64,Male,Total,Total,784
5,2020,45-64,Total,Total,Total,1329
5,2020,65-74,Female,Total,Total,760
5,2020,65-74,Male,Total,Total,1049
5,2020,65-74,Total,Total,Total,1809
5,2020,75-84,Female,Total,Total,1468
5,2020,75-84,Male,Total,Total,1588
5,2020,75-84,Total,Total,Total,3056
5,2020,85+,Female,Total,Total,2687
5,2020,85+,Male,Total,Total,1786
5,2020,85+,Total,Total,Total,4473
5,2020,Under 1 year,Female,Total,Total,16
5,2020,Under 1 year,Male,Total,Total,14
5,2020,Under 1 year,Total,Total,Total,30
6,2020,01-14,Female,Total,Total,4
6,2020,01-14,Male,Total,Total,8
6,2020,01-14,Total,Total,Total,12
6,2020,15-44,Female,Total,Total,102
6,2020,15-44,Male,Total,Total,184
6,2020,15-44,Total,Total,Total,286
6,2020,45-64,Female,Total,Total,521
6,2020,45-64,Male,Total,Total,767
6,2020,45-64,Total,Total,Total,1288
6,2020,65-74,Female,Total,Total,694
6,2020,65-74,Male,Total,Total,1060
6,2020,65-74,Total,Total,Total,1754
6,2020,75-84,Female,Total,Total,1413
6,2020,75-84,Male,Total,Total,1596
6,2020,75-84,Total,Total,Total,3009
6,2020,85+,Female,Total,Total,2709
6,2020,85+,Male,Total,Total,1847
6,2020,85+,Total,Total,Total,4556
6,2020,Under 1 year,Female,Total,Total,14
6,2020,Under 1 year,Male,Total,Total,29
6,2020,Under 1 year,Total,Total,Total,43
7,2020,01-14,Female,Total,Total,7
7,2020,01-14,Male,Total,Total,11
7,2020,01-14,Total,Total,Total,18
7,2020,15-44,Female,Total,Total,119
7,2020,15-44,Male,Total,Total,202
7,2020,15-44,Total,Total,Total,321
7,2020,45-64,Female,Total,Total,546
7,2020,45-64,Male,Total,Total,725
7,2020,45-64,Total,Total,Total,1271
7,2020,65-74,Female,Total,Total,745
7,2020,65-74,Male,Total,Total,998
7,2020,65-74,Total,Total,Total,1743
7,2020,75-84,Female,Total,Total,1362
7,2020,75-84,Male,Total,Total,1672
7,2020,75-84,Total,Total,Total,3034
7,2020,85+,Female,Total,Total,2603
7,2020,85+,Male,Total,Total,1799
7,2020,85+,Total,Total,Total,4402
7,2020,Under 1 year,Female,Total,Total,19
7,2020,Under 1 year,Male,Total,Total,32
7,2020,Under 1 year,Total,Total,Total,51
8,2020,01-14,Female,Total,Total,5
8,2020,01-14,Male,Total,Total,15
8,2020,01-14,Total,Total,Total,20
