,Week,Year,Age,Condition,Region,Deaths
0,2018-01-05,2020,Total,Total,Total,12723
1,2018-01-12,2020,Total,Total,Total,15050
2,2018-01-19,2020,Total,Total,Total,14256
3,2018-01-26,2020,Total,Total,Total,13935
4,2018-02-02,2020,Total,Total,Total,13285
5,2018-02-09,2020,Total,Total,Total,12495
6,2018-02-16,2020,Total,Total,Total,12246
7,2018-02-23,2020,Total,Total,Total,12142
8,2018-03-02,2020,Total,Total,Total,10854
9,2018-03-09,2020,Total,Total,Total,12997
10,2018-03-16,2020,Total,Total,Total,12788
11,2018-03-23,2020,Total,Total,Total,11913
12,2018-03-30,2020,Total,Total,Total,9941
13,2018-04-06,2020,Total,Total,Total,10794
14,2018-04-13,2020,Total,Total,Total,12301
15,2018-04-20,2020,Total,Total,Total,11223
16,2018-04-27,2020,Total,Total,Total,10306
17,2018-05-04,2020,Total,Total,Total,10153
18,2018-05-11,2020,Total,Total,Total,8624
19,2018-05-18,2020,Total,Total,Total,10141
20,2018-05-25,2020,Total,Total,Total,9636
21,2018-06-01,2020,Total,Total,Total,8147
22,2018-06-08,2020,Total,Total,Total,9950
23,2018-06-15,2020,Total,Total,Total,9343
24,2018-06-22,2020,Total,Total,Total,9256
25,2018-06-29,2020,Total,Total,Total,9212
26,2018-07-06,2020,Total,Total,Total,9258
27,2018-07-13,2020,Total,Total,Total,9293
28,2018-07-20,2020,Total,Total,Total,9127
29,2018-07-27,2020,Total,Total,Total,9141
30,2018-08-03,2020,Total,Total,Total,9161
31,2018-08-10,2020,Total,Total,Total,9319
32,2018-08-17,2020,Total,Total,Total,8830
33,2018-08-24,2020,Total,Total,Total,8978
34,2018-08-31,2020,Total,Total,Total,7865
35,2018-09-07,2020,Total,Total,Total,9445
36,2018-09-14,2020,Total,Total,Total,9191
37,2018-09-21,2020,Total,Total,Total,9305
38,2018-09-28,2020,Total,Total,Total,9150
39,2018-10-05,2020,Total,Total,Total,9503
40,2018-10-12,2020,Total,Total,Total,9649
41,2018-10-19,2020,Total,Total,Total,9864
42,2018-10-26,2020,Total,Total,Total,9603
43,2018-11-02,2020,Total,Total,Total,9529
44,2018-11-09,2020,Total,Total,Total,10151
45,2018-11-16,2020,Total,Total,Total,10193
46,2018-11-23,2020,Total,Total,Total,9957
47,2018-11-30,2020,Total,Total,Total,10033
48,2018-12-07,2020,Total,Total,Total,10287
49,2018-12-14,2020,Total,Total,Total,10550
50,2018-12-21,2020,Total,Total,Total,11116
51,2018-12-28,2020,Total,Total,Total,7131
