Country,Week,Year,Age,Sex,Region,Condition,Deaths
Netherlands,0,2017,Total,Total,Total,Total,469
Netherlands,1,2017,Total,Total,Total,Total,3568
Netherlands,2,2017,Total,Total,Total,Total,3637
Netherlands,3,2017,Total,Total,Total,Total,3487
Netherlands,4,2017,Total,Total,Total,Total,3626
Netherlands,5,2017,Total,Total,Total,Total,3574
Netherlands,6,2017,Total,Total,Total,Total,3446
Netherlands,7,2017,Total,Total,Total,Total,3417
Netherlands,8,2017,Total,Total,Total,Total,3328
Netherlands,9,2017,Total,Total,Total,Total,3152
Netherlands,10,2017,Total,Total,Total,Total,3054
Netherlands,11,2017,Total,Total,Total,Total,2843
Netherlands,12,2017,Total,Total,Total,Total,2778
Netherlands,13,2017,Total,Total,Total,Total,2850
Netherlands,14,2017,Total,Total,Total,Total,2764
Netherlands,15,2017,Total,Total,Total,Total,2810
Netherlands,16,2017,Total,Total,Total,Total,2713
Netherlands,17,2017,Total,Total,Total,Total,2778
Netherlands,18,2017,Total,Total,Total,Total,2769
Netherlands,19,2017,Total,Total,Total,Total,2802
Netherlands,20,2017,Total,Total,Total,Total,2801
Netherlands,21,2017,Total,Total,Total,Total,2772
Netherlands,22,2017,Total,Total,Total,Total,2701
Netherlands,23,2017,Total,Total,Total,Total,2624
Netherlands,24,2017,Total,Total,Total,Total,2643
Netherlands,25,2017,Total,Total,Total,Total,2627
Netherlands,26,2017,Total,Total,Total,Total,2691
Netherlands,27,2017,Total,Total,Total,Total,2697
Netherlands,28,2017,Total,Total,Total,Total,2520
Netherlands,29,2017,Total,Total,Total,Total,2674
Netherlands,30,2017,Total,Total,Total,Total,2571
Netherlands,31,2017,Total,Total,Total,Total,2510
Netherlands,32,2017,Total,Total,Total,Total,2657
Netherlands,33,2017,Total,Total,Total,Total,2540
Netherlands,34,2017,Total,Total,Total,Total,2545
Netherlands,35,2017,Total,Total,Total,Total,2576
Netherlands,36,2017,Total,Total,Total,Total,2570
Netherlands,37,2017,Total,Total,Total,Total,2707
Netherlands,38,2017,Total,Total,Total,Total,2715
Netherlands,39,2017,Total,Total,Total,Total,2669
Netherlands,40,2017,Total,Total,Total,Total,2641
Netherlands,41,2017,Total,Total,Total,Total,2763
Netherlands,42,2017,Total,Total,Total,Total,2706
Netherlands,43,2017,Total,Total,Total,Total,2676
Netherlands,44,2017,Total,Total,Total,Total,2726
Netherlands,45,2017,Total,Total,Total,Total,2797
Netherlands,46,2017,Total,Total,Total,Total,2916
Netherlands,47,2017,Total,Total,Total,Total,2917
Netherlands,48,2017,Total,Total,Total,Total,2886
Netherlands,49,2017,Total,Total,Total,Total,3027
Netherlands,50,2017,Total,Total,Total,Total,3218
Netherlands,51,2017,Total,Total,Total,Total,3079
Netherlands,52,2017,Total,Total,Total,Total,3187
Netherlands,0,2018,Total,Total,Total,Total,3343
Netherlands,1,2018,Total,Total,Total,Total,3359
Netherlands,2,2018,Total,Total,Total,Total,3364
Netherlands,3,2018,Total,Total,Total,Total,3322
Netherlands,4,2018,Total,Total,Total,Total,3403
Netherlands,5,2018,Total,Total,Total,Total,3513
Netherlands,6,2018,Total,Total,Total,Total,3660
Netherlands,7,2018,Total,Total,Total,Total,3691
Netherlands,8,2018,Total,Total,Total,Total,3937
Netherlands,9,2018,Total,Total,Total,Total,4092
Netherlands,10,2018,Total,Total,Total,Total,3733
Netherlands,11,2018,Total,Total,Total,Total,3430
Netherlands,12,2018,Total,Total,Total,Total,3225
Netherlands,13,2018,Total,Total,Total,Total,3040
Netherlands,14,2018,Total,Total,Total,Total,2860
Netherlands,15,2018,Total,Total,Total,Total,2760
Netherlands,16,2018,Total,Total,Total,Total,2663
Netherlands,17,2018,Total,Total,Total,Total,2645
Netherlands,18,2018,Total,Total,Total,Total,2641
Netherlands,19,2018,Total,Total,Total,Total,2606
Netherlands,20,2018,Total,Total,Total,Total,2674
Netherlands,21,2018,Total,Total,Total,Total,2776
Netherlands,22,2018,Total,Total,Total,Total,2679
Netherlands,23,2018,Total,Total,Total,Total,2557
Netherlands,24,2018,Total,Total,Total,Total,2601
Netherlands,25,2018,Total,Total,Total,Total,2619
Netherlands,26,2018,Total,Total,Total,Total,2726
Netherlands,27,2018,Total,Total,Total,Total,2671
Netherlands,28,2018,Total,Total,Total,Total,2704
Netherlands,29,2018,Total,Total,Total,Total,2767
Netherlands,30,2018,Total,Total,Total,Total,2760
Netherlands,31,2018,Total,Total,Total,Total,2745
Netherlands,32,2018,Total,Total,Total,Total,2605
Netherlands,33,2018,Total,Total,Total,Total,2612
Netherlands,34,2018,Total,Total,Total,Total,2527
Netherlands,35,2018,Total,Total,Total,Total,2613
Netherlands,36,2018,Total,Total,Total,Total,2539
Netherlands,37,2018,Total,Total,Total,Total,2706
Netherlands,38,2018,Total,Total,Total,Total,2696
Netherlands,39,2018,Total,Total,Total,Total,2806
Netherlands,40,2018,Total,Total,Total,Total,2760
Netherlands,41,2018,Total,Total,Total,Total,2739
Netherlands,42,2018,Total,Total,Total,Total,2671
Netherlands,43,2018,Total,Total,Total,Total,2815
Netherlands,44,2018,Total,Total,Total,Total,2798
Netherlands,45,2018,Total,Total,Total,Total,2761
Netherlands,46,2018,Total,Total,Total,Total,2859
Netherlands,47,2018,Total,Total,Total,Total,2907
Netherlands,48,2018,Total,Total,Total,Total,2968
Netherlands,49,2018,Total,Total,Total,Total,3017
Netherlands,50,2018,Total,Total,Total,Total,3041
Netherlands,51,2018,Total,Total,Total,Total,2901
Netherlands,52,2018,Total,Total,Total,Total,456
Netherlands,0,2019,Total,Total,Total,Total,2606
Netherlands,1,2019,Total,Total,Total,Total,3262
Netherlands,2,2019,Total,Total,Total,Total,3150
Netherlands,3,2019,Total,Total,Total,Total,3178
Netherlands,4,2019,Total,Total,Total,Total,3143
Netherlands,5,2019,Total,Total,Total,Total,3185
Netherlands,6,2019,Total,Total,Total,Total,3252
Netherlands,7,2019,Total,Total,Total,Total,3222
Netherlands,8,2019,Total,Total,Total,Total,3066
Netherlands,9,2019,Total,Total,Total,Total,3171
Netherlands,10,2019,Total,Total,Total,Total,3227
Netherlands,11,2019,Total,Total,Total,Total,3042
Netherlands,12,2019,Total,Total,Total,Total,3013
Netherlands,13,2019,Total,Total,Total,Total,2900
Netherlands,14,2019,Total,Total,Total,Total,2900
Netherlands,15,2019,Total,Total,Total,Total,3040
Netherlands,16,2019,Total,Total,Total,Total,2957
Netherlands,17,2019,Total,Total,Total,Total,2806
Netherlands,18,2019,Total,Total,Total,Total,2771
Netherlands,19,2019,Total,Total,Total,Total,2821
Netherlands,20,2019,Total,Total,Total,Total,2873
Netherlands,21,2019,Total,Total,Total,Total,2732
Netherlands,22,2019,Total,Total,Total,Total,2736
Netherlands,23,2019,Total,Total,Total,Total,2650
Netherlands,24,2019,Total,Total,Total,Total,2694
Netherlands,25,2019,Total,Total,Total,Total,2835
Netherlands,26,2019,Total,Total,Total,Total,2725
Netherlands,27,2019,Total,Total,Total,Total,2760
Netherlands,28,2019,Total,Total,Total,Total,2584
Netherlands,29,2019,Total,Total,Total,Total,3007
Netherlands,30,2019,Total,Total,Total,Total,2731
Netherlands,31,2019,Total,Total,Total,Total,2628
Netherlands,32,2019,Total,Total,Total,Total,2612
Netherlands,33,2019,Total,Total,Total,Total,2615
Netherlands,34,2019,Total,Total,Total,Total,2782
Netherlands,35,2019,Total,Total,Total,Total,2555
Netherlands,36,2019,Total,Total,Total,Total,2640
Netherlands,37,2019,Total,Total,Total,Total,2580
Netherlands,38,2019,Total,Total,Total,Total,2753
Netherlands,39,2019,Total,Total,Total,Total,2713
Netherlands,40,2019,Total,Total,Total,Total,2911
Netherlands,41,2019,Total,Total,Total,Total,2877
Netherlands,42,2019,Total,Total,Total,Total,2867
Netherlands,43,2019,Total,Total,Total,Total,2852
Netherlands,44,2019,Total,Total,Total,Total,3011
Netherlands,45,2019,Total,Total,Total,Total,3057
Netherlands,46,2019,Total,Total,Total,Total,3019
Netherlands,47,2019,Total,Total,Total,Total,3037
Netherlands,48,2019,Total,Total,Total,Total,3013
Netherlands,49,2019,Total,Total,Total,Total,3148
Netherlands,50,2019,Total,Total,Total,Total,3235
Netherlands,51,2019,Total,Total,Total,Total,2997
