Country,Week,Deaths2017,Deaths2018,Deaths2019,Deaths2020
Netherlands,0,469.0,3343.0,2606.0,2242.0
Netherlands,1,3568.0,3359.0,3262.0,3364.0
Netherlands,2,3637.0,3364.0,3150.0,3151.0
Netherlands,3,3487.0,3322.0,3178.0,3040.0
Netherlands,4,3626.0,3403.0,3143.0,3157.0
Netherlands,5,3574.0,3513.0,3185.0,3188.0
Netherlands,6,3446.0,3660.0,3252.0,3195.0
Netherlands,7,3417.0,3691.0,3222.0,2953.0
Netherlands,8,3328.0,3937.0,3066.0,3087.0
Netherlands,9,3152.0,4092.0,3171.0,3092.0
Netherlands,10,3054.0,3733.0,3227.0,3211.0
Netherlands,11,2843.0,3430.0,3042.0,3593.0
Netherlands,12,2778.0,3225.0,3013.0,4432.0
Netherlands,13,2850.0,3040.0,2900.0,5037.0
Netherlands,14,2764.0,2860.0,2900.0,5036.0
Netherlands,15,2810.0,2760.0,3040.0,
Netherlands,16,2713.0,2663.0,2957.0,
Netherlands,17,2778.0,2645.0,2806.0,
Netherlands,18,2769.0,2641.0,2771.0,
Netherlands,19,2802.0,2606.0,2821.0,
Netherlands,20,2801.0,2674.0,2873.0,
Netherlands,21,2772.0,2776.0,2732.0,
Netherlands,22,2701.0,2679.0,2736.0,
Netherlands,23,2624.0,2557.0,2650.0,
Netherlands,24,2643.0,2601.0,2694.0,
Netherlands,25,2627.0,2619.0,2835.0,
Netherlands,26,2691.0,2726.0,2725.0,
Netherlands,27,2697.0,2671.0,2760.0,
Netherlands,28,2520.0,2704.0,2584.0,
Netherlands,29,2674.0,2767.0,3007.0,
Netherlands,30,2571.0,2760.0,2731.0,
Netherlands,31,2510.0,2745.0,2628.0,
Netherlands,32,2657.0,2605.0,2612.0,
Netherlands,33,2540.0,2612.0,2615.0,
Netherlands,34,2545.0,2527.0,2782.0,
Netherlands,35,2576.0,2613.0,2555.0,
Netherlands,36,2570.0,2539.0,2640.0,
Netherlands,37,2707.0,2706.0,2580.0,
Netherlands,38,2715.0,2696.0,2753.0,
Netherlands,39,2669.0,2806.0,2713.0,
Netherlands,40,2641.0,2760.0,2911.0,
Netherlands,41,2763.0,2739.0,2877.0,
Netherlands,42,2706.0,2671.0,2867.0,
Netherlands,43,2676.0,2815.0,2852.0,
Netherlands,44,2726.0,2798.0,3011.0,
Netherlands,45,2797.0,2761.0,3057.0,
Netherlands,46,2916.0,2859.0,3019.0,
Netherlands,47,2917.0,2907.0,3037.0,
Netherlands,48,2886.0,2968.0,3013.0,
Netherlands,49,3027.0,3017.0,3148.0,
Netherlands,50,3218.0,3041.0,3235.0,
Netherlands,51,3079.0,2901.0,2997.0,
Netherlands,52,3187.0,456.0,852.0,
United Kingdom,0,11991.0,12723.0,10955.0,12254.0
United Kingdom,1,13715.0,15050.0,12609.0,14058.0
United Kingdom,2,13610.0,14256.0,11860.0,12990.0
United Kingdom,3,12877.0,13935.0,11740.0,11856.0
United Kingdom,4,12485.0,13285.0,11297.0,11612.0
United Kingdom,5,12269.0,12495.0,11660.0,10986.0
United Kingdom,6,11644.0,12246.0,11824.0,10944.0
United Kingdom,7,11794.0,12142.0,11295.0,10841.0
United Kingdom,8,11248.0,10854.0,11044.0,10816.0
United Kingdom,9,11077.0,12997.0,10898.0,10895.0
United Kingdom,10,10697.0,12788.0,10567.0,11019.0
United Kingdom,11,10325.0,11913.0,10402.0,10645.0
United Kingdom,12,10027.0,9941.0,9867.0,11141.0
United Kingdom,13,9939.0,10794.0,10126.0,16387.0
United Kingdom,14,8493.0,12301.0,10291.0,18516.0
United Kingdom,15,9644.0,11223.0,9025.0,
United Kingdom,16,10908.0,10306.0,10059.0,
United Kingdom,17,9064.0,10153.0,11207.0,
United Kingdom,18,10693.0,8624.0,9055.0,
United Kingdom,19,10288.0,10141.0,10272.0,
United Kingdom,20,10040.0,9636.0,10284.0,
United Kingdom,21,8332.0,8147.0,8260.0,
United Kingdom,22,9766.0,9950.0,10140.0,
United Kingdom,23,9367.0,9343.0,9445.0,
United Kingdom,24,9627.0,9256.0,9458.0,
United Kingdom,25,9334.0,9212.0,9511.0,
United Kingdom,26,9263.0,9258.0,9062.0,
United Kingdom,27,9376.0,9293.0,9179.0,
United Kingdom,28,9113.0,9127.0,9080.0,
United Kingdom,29,8882.0,9141.0,9112.0,
United Kingdom,30,8941.0,9161.0,9271.0,
United Kingdom,31,9038.0,9319.0,9122.0,
United Kingdom,32,9299.0,8830.0,9093.0,
United Kingdom,33,9382.0,8978.0,8994.0,
United Kingdom,34,8149.0,7865.0,8242.0,
United Kingdom,35,9497.0,9445.0,9695.0,
United Kingdom,36,9454.0,9191.0,9513.0,
United Kingdom,37,9534.0,9305.0,9440.0,
United Kingdom,38,9689.0,9150.0,9517.0,
United Kingdom,39,9778.0,9503.0,9799.0,
United Kingdom,40,9940.0,9649.0,9973.0,
United Kingdom,41,10031.0,9864.0,10156.0,
United Kingdom,42,9739.0,9603.0,10021.0,
United Kingdom,43,9984.0,9529.0,10164.0,
United Kingdom,44,10346.0,10151.0,10697.0,
United Kingdom,45,10275.0,10193.0,10650.0,
United Kingdom,46,10621.0,9957.0,10882.0,
United Kingdom,47,10538.0,10033.0,10958.0,
United Kingdom,48,10781.0,10287.0,10816.0,
United Kingdom,49,11217.0,10550.0,11188.0,
United Kingdom,50,12517.0,11116.0,11926.0,
United Kingdom,51,8487.0,7131.0,7533.0,
